metric,to_Kg_multiplier,miles_per_Kg,heating_per_Kg,showers_per_Kg,stream_hrs_kg
gram,0.001,,,,
milliliter,0.001,,,,
teaspoon,0.005,,,,
tablespoon,0.015,,,,
pound,0.45454545454545453,,,,
ounce,0.02834949254408346,,,,
pinch,0.003,,,,
squid,0.063,,,,
lemon,0.07,,,,
loaf,0.4,,,,
link,0.057,,,,
clove,0.006,,,,
sprig,0.005,,,,
leaf,0.003,,,,
bunch,0.015,,,,
pod,0.005,,,,
package,0.3,,,,
wedge,0.01,,,,
slice,0.02,,,,
<unit>,0.01,,,,
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
,,2.5517241379310347,0.15517241379310345,0.25,18.18
