Ingedient,Weight(g),Emissions(gCO2)
Allspice,1000,1133
Almond extract,1000,656
Almonds,1000,2856
Americano,1000,706
Anchovies,1000,4220
Apple juice,1000,2440
Apple sauce,1000,2146
Apples,1000,900
Apples - dried,1000,6980
Apples - frozen,1000,2120
Apricot,1000,430
Artichoke,1000,338
Asparagus,1000,7032
Asparagus - canned,1000,4184
Asparagus - frozen,1000,3044
Aubergine,1000,3095
Avocados,1000,2400
Bacon,1000,6628
Bagel,1000,1215
Baguette,1000,1301
Baked beans,1000,2467
Baking powder,1000,0
Bananas,1000,1300
Bananas - chipped,1000,4400
Bananas - dried,1000,4400
Barbeque sauce,1000,222
Barley,1000,1118
Basil,1000,1133
Bay leaves,1000,1133
Beef,1000,43330
